Headline,Link
"Heatwave linked to over 1,000 deaths as Spain records hottest first half of year",https://timesofindia.indiatimes.com/world/europe/heatwave-linked-to-over-1000-deaths-as-spain-records-hottest-first-half-of-year/articleshow/132110693.cms
"Beyond coding: What tomorrow’s engineers need to succeed
AI is transforming software engineering, shifting focus from coding speed to higher-value tasks like system design and customer outcomes. Senior leaders at NiCE emphasize that while AI automates code generation, critical thinking, problem framing, and domain expertise are becoming crucial human skills. Young engineers are advised to build strong foundations, stay curious, and focus on business impact to thrive in this evolving landscape.",https://timesofindia.indiatimes.com/technology/what-tomorrows-engineers-need-to-succeed-according-to-awan-roy-and-guru-majgaonkar/articleshow/132090870.cms
"Owaisi targets BJP, RSS over Ram Mandir donation theft: 'Champat is having fun'",https://timesofindia.indiatimes.com/india/owaisi-targets-bjp-rss-over-ram-mandir-donation-theft-champat-is-having-fun/articleshow/132110042.cms
"Tenant police verification: Who has to do it—tenant, landlord or broker?",https://timesofindia.indiatimes.com/real-estate/news/tenant-police-verification-who-has-to-do-ittenant-landlord-or-broker/articleshow/132109309.cms
"Sergey Brin sold his NYC real estate: Here's what Mamdani's rent freeze cost him
Google co-founder Sergey Brin has divested his stake in a New York City real estate fund for a fraction of its value, selling for just six cents on the dollar. This significant loss comes as Mayor Zohran Mamdani's rent freeze tightens conditions for landlords. The fund, A&E Real Estate, confirmed the sale, citing the challenging market for rent-stabilized apartments.",https://timesofindia.indiatimes.com/technology/tech-news/google-founder-sergey-brin-exits-new-york-real-estate-after-mayor-zohran-mamdanis-rent-freeze-sells-for-just-6-cents-on-/articleshow/132092723.cms
"Who is Shoko Kawata: Why this Japanese mayor's maternity leave is making global headlines
Japan's youngest female mayor, Shoko Kawata, is making waves by becoming the first sitting mayor to take maternity leave. Her decision has ignited a national debate on women in leadership and motherhood, challenging the notion that public office and family life are incompatible. Despite backlash, Kawata insists systems can adapt, not people, advocating for a society where work and family coexist naturally, a sentiment resonating globally with working mothers.",https://timesofindia.indiatimes.com/women/voices-of-power/who-is-shoko-kawata-why-this-japanese-mayors-maternity-leave-is-making-global-headlines/articleshow/132110723.cms
Paraguay vs Germany,https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/paraguay-end-germanys-44-year-historic-world-cup-streak-as-footballs-greatest-reputation-finally-falls/articleshow/132081688.cms
Lebron James,https://timesofindia.indiatimes.com/sports/nba/top-stories/lebron-james-exits-lakers-luka-doncic-magic-johnson-and-jeanie-buss-share-emotional-tributes/articleshow/132103824.cms
Nayara petrol price,https://timesofindia.indiatimes.com/business/india-business/nayara-energy-cuts-petrol-by-rs-5-per-litre-diesel-by-rs-3-first-fuel-price-reduction-in-over-2-years/articleshow/132104211.cms
Commercial gas price,https://timesofindia.indiatimes.com/business/india-business/commercial-lpg-cylinder-prices-slashed-by-rs-183-50-from-july-1-check-city-wise-rates/articleshow/132104670.cms
Kylian Mbappe,https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/kylian-mbapp-shatters-world-cup-history-breaks-20-year-record-and-now-chases-messi-after-sweden-brace/articleshow/132103635.cms
"Michael Dell gives update on Dell's plan to move company's base to Texas, days after 'Welcome Home' message from Governor Gregg Abott",https://timesofindia.indiatimes.com/technology/tech-news/michael-dell-gives-update-on-dells-plan-to-move-companys-base-to-texas-days-after-welcome-home-message-from-governor-gregg-abott/articleshow/132029481.cms
"Quote of the day by Nvidia CEO Jensen Huang: ""Strategy isn't words; strategy is…""",https://timesofindia.indiatimes.com/technology/tech-news/quote-of-the-day-by-nvidia-ceo-jensen-huang-strategy-isnt-words-strategy-is/articleshow/132108872.cms
Amazon Web Services invests $1 billion into a new AI unit to embed thousands of engineers directly with customers to ...,https://timesofindia.indiatimes.com/technology/tech-news/amazon-web-services-invests-1-billion-into-a-new-ai-unit-to-embed-thousands-of-engineers-directly-with-customers-to-/articleshow/132110217.cms
Google Gemini’s new AI model promises faster image generation: What users can expect,https://gadgetsnow.indiatimes.com/tech-news/google-geminis-new-ai-model-promises-faster-image-generation-what-users-can-expect/articleshow/132109544.cms
Instagram Introduces New Story Creation Tools for Meta AI glasses to Enhance Creator Content,https://gadgetsnow.indiatimes.com/tech-news/instagram-introduces-new-story-creation-tools-for-meta-ai-glasses-to-enhance-creator-content/articleshow/132109078.cms
"OPPO Reno 16 India launch on July 2: Snapdragon 7 Gen 4 confirmed, but Reno 15 users should wait",https://gadgetsnow.indiatimes.com/tech-news/oppo-reno-16-india-launch-on-july-2-snapdragon-7-gen-4-confirmed-but-reno-15-users-should-wait/articleshow/132110073.cms
"FIFA World Cup Today Schedule: Where and How to Watch England vs DR Congo, USA vs Bosnia, Belgium vs Senegal Live",https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/fifa-world-cup-today-schedule-where-and-how-to-watch-england-vs-dr-congo-usa-vs-bosnia-belgium-vs-senegal-live/articleshow/132109108.cms
"TNEA 2026 rank list out: Dharmapuri's Aksitha S tops engineering admissions, check complete topper list by category",https://timesofindia.indiatimes.com/education/news/tnea-2026-rank-list-out-dharmapuris-aksitha-s-tops-engineering-admissions-check-complete-topper-list-by-category/articleshow/132108131.cms
"Kylian Mbappé and Ester Expósito's combined net worth in 2026: Career earnings, endorsements, investments, lifestyle and more",https://timesofindia.indiatimes.com/sports/international-sports/kylian-mbapp-and-ester-expsitos-combined-net-worth-in-2026-career-earnings-endorsements-investments-lifestyle-and-more/articleshow/132063913.cms
Sara Foster on David Foster and Katharine McPhee’s age difference,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/shes-not-a-child-bride-sara-foster-defends-dad-david-foster-and-katharine-mcphees-35-year-age-gap/articleshow/132110734.cms
"Priyadarshan moves on from Hera Pheri 3, announces 9th film with Akshay",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/priyadarshan-moves-on-from-hera-pheri-3-announces-ninth-film-with-akshay-kumar/articleshow/132109750.cms
Saif Ali Khan makes strong statement on paparazzi culture,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/saif-ali-khan-makes-strong-statement-on-paparazzi-culture-says-personal-boundaries-must-be-respected-my-life-was-fine-without-them/articleshow/132109670.cms
Kyunki 2's Prachi aka Munni: I'm honoured to be a part of this show,https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-kyunki-saas-bhi-kabhi-bahu-thi-2-actress-prachi-singh-its-an-honor-for-me-that-i-got-a-chance-to-work-on-a-show-like-kyunki/articleshow/132103984.cms
'Welcome to the Jungle' box office collection Day 6 [LIVE]: Eyes Rs 90-100 crore Week 1 finish ahead of clash with 'Alpha',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/box-office/welcome-to-the-jungle-box-office-collection-day-6-live-akshay-kumar-led-multi-starrer-inches-closer-to-rs-90-crore-net-as-worldwide-gross-crosses-over-rs-120-crore-ahead-of-clash-with-alpha/articleshow/132109436.cms
Neha Dhupia loses cool at photographers over 'back shots',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/neha-dhupia-loses-cool-at-photographers-over-back-shots-yeh-badtameezi-sab-nahi-chalegi-abhi/articleshow/132107253.cms
Jennifer Lopez talks about how breakups changed her,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/jennifer-lopez-says-breakups-should-be-celebrated-we-should-have-a-party/articleshow/132109471.cms
Kriti Sanon hints all is well with Kabir Bahia through latest photo dump,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kriti-sanon-hints-all-is-well-with-kabir-bahia-through-latest-photo-dump-amid-breakup-buzz-some-moments-that-never-made-it-to-the-gram/articleshow/132108899.cms
Akshay Kumar shares BTS with Farida Jalal and Kiran Kumar,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/thank-you-is-very-small-akshay-kumar-pens-heartfelt-note-for-farida-jalal-and-kiran-kumar-amid-welcome-to-the-jungle-success/articleshow/132108412.cms
Pakistani singer reacts as Amaal recreates Awarapan songs,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/pakistani-singer-mustafa-zahid-reacts-as-amaal-mallik-recreates-awarapan-songs-for-sequel-borders-are-dangerous-but-so-is-love/articleshow/132108504.cms
Baoquan Cliff World Scenic Area evacuated: Visitors flee as China's famous Glass Bridge cracks after teen's shocking act,https://timesofindia.indiatimes.com/etimes/trending/baoquan-cliff-world-scenic-area-evacuated-visitors-flee-as-chinas-famous-glass-bridge-cracks-after-teens-shocking-act/articleshow/132110492.cms
"Gaurav reacts to wife Akanksha's divorce announcement;'Pyaar abhi bhi""",https://timesofindia.indiatimes.com/tv/news/hindi/gaurav-khanna-makes-his-first-appearance-reacts-to-wife-akanksha-chamolas-divorce-announcement-says-pyaar-abhi-bhi-utna-hai-main-uske-saath-humesha-khada-rahunga/articleshow/132095126.cms
Lock Upp 2: Shreya Kalra claims Akanksha Chamola is bise*ual,https://timesofindia.indiatimes.com/tv/news/hindi/lock-upp-2-shreya-kalra-reveals-akanksha-chamolas-big-secret-to-sufi-motiwala-says-shes-bi-seual/articleshow/132101020.cms
"Prachi On Coping In TV: Actress shares mental health mantra; stays grounded, close to family",https://timesofindia.indiatimes.com/tv/news/hindi/kyunki-saas-bhi-kabhi-bahu-thi-2-actress-prachi-singh-reveals-how-she-copes-with-mental-health-challenges/articleshow/132070200.cms
K. Bhagyaraj’s handwritten note seeking support for son Shanthanu revealed,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/take-care-of-my-eyes-k-bhagyarajs-emotional-posthumous-handwritten-note-seeking-support-for-son-shanthanu-revealed/articleshow/132095082.cms
Huma Qureshi breaks silence on recreating Shah Rukh Khan starrer 'Ishq Kameena' song,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/we-werent-trying-to-imitate-the-original-huma-qureshi-breaks-silence-on-recreating-aishwarya-rai-and-shah-rukh-khan-starrer-ishq-kameena-for-baby-do-die-do/articleshow/132046098.cms
Sara Foster on David Foster and Katharine McPhee’s age difference,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/shes-not-a-child-bride-sara-foster-defends-dad-david-foster-and-katharine-mcphees-35-year-age-gap/articleshow/132110734.cms
Lily Allen defends her one-hour show and unique live format amid criticism,https://timesofindia.indiatimes.com/entertainment/english/music/news/lily-allen-defends-her-one-hour-show-amid-criticism-its-my-artistic-choice-not-to-talk-to-the-audience/articleshow/132110419.cms
Delhi High Court denies Ilaiyaraaja’s plea to vacate interim stay,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/delhi-high-court-denies-ilaiyaraajas-plea-to-vacate-interim-stay-in-134-film-songs-copyright-dispute/articleshow/132110019.cms
Top 5 South stories of the day,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/sudha-kongaras-unpaid-parasakthi-salary-court-orders-fir-in-ansiba-hassans-complaint-toxic-female-cast-reveal-top-5-south-stories-of-the-day/articleshow/132096005.cms
K. Bhagyaraj’s handwritten note seeking support for son Shanthanu,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/take-care-of-my-eyes-k-bhagyarajs-emotional-posthumous-handwritten-note-seeking-support-for-son-shanthanu-revealed/articleshow/132095082.cms
Top 5 South stories of the day,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/shanthanus-heartfelt-note-to-vijay-suriyas-reunion-with-tj-gnanavel-jr-ntr-and-trivikram-srinivas-comeback-top-5-south-stories-of-the-day/articleshow/132074499.cms
South Indian cinema controversies from first half of 2026,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/south-indian-cinema-controversies-from-first-half-of-2026-vijays-jana-nayagan-censor-row-drishyam-3-and-amma-crisis-explained/articleshow/132073532.cms
Jr NTR reunites with Trivikram Srinivas for a mythological epic,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/jr-ntr-reunites-with-trivikram-srinivas-for-a-mythological-epic-on-lord-karthikeya-born-in-north-worshipped-in-south/articleshow/132072009.cms
Court approves Ansiba Hassan's complaint against Tini Tom,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/court-approves-ansiba-hassans-complaint-against-tini-tom-orders-police-to-register-fir/articleshow/132091234.cms
Top 5 South stories of the day,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/shanthanus-heartfelt-note-to-vijay-suriyas-reunion-with-tj-gnanavel-jr-ntr-and-trivikram-srinivas-comeback-top-5-south-stories-of-the-day/articleshow/132074499.cms
South Indian cinema controversies from first half of 2026,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/south-indian-cinema-controversies-from-first-half-of-2026-vijays-jana-nayagan-censor-row-drishyam-3-and-amma-crisis-explained/articleshow/132073532.cms
Toxic Movie Teaser,https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/yashs-toxic-ladies-ladies-teaser-showcases-fierce-avatars-of-nayanthara-kiara-advani-huma-qureshi-and-rukmini-vasanth/articleshow/132108012.cms
Mustapha Zahid,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/pakistani-singer-mustapha-zahid-reacts-as-amaal-mallik-recreates-awarapan-songs-for-sequel-borders-are-dangerous-but-so-is-love/articleshow/132108504.cms
Hera Pheri 3,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/priyadarshan-moves-on-from-hera-pheri-3-announces-ninth-film-with-akshay-kumar/articleshow/132109750.cms
Akshay Kumar,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/akshay-kumar-on-welcome-to-the-jungle-box-office-success-every-friday-still-feels-like-an-exam-result/articleshow/132105501.cms
Samay Raina,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/are-samay-raina-and-medha-shankr-dating-viral-video-sparks-fresh-speculation/articleshow/132104115.cms
K Bhagyaraj,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/take-care-of-my-eyes-k-bhagyarajs-emotional-posthumous-handwritten-note-seeking-support-for-son-shanthanu-revealed/articleshow/132095082.cms
"Dispute over Rs 1.1 crore dispute ends in bloody gym attack, 5 injured, 11 held in Gandhinagar",https://timesofindia.indiatimes.com/city/ahmedabad/dispute-over-rs-1-1-cr-dispute-ends-in-bloody-gym-attack-5-injured/articleshow/132100353.cms
"Hid money in washrooms, exploited CCTV blind spots: Ayodhya Police reveal Ram Temple donation theft modus operandi",https://timesofindia.indiatimes.com/city/lucknow/hid-money-in-washrooms-exploited-cctv-blind-spots-ayodhya-police-reveal-ram-temple-donation-theft-modus-operandi/articleshow/132108619.cms
"Lohagad Fort murder: Cops recreate crime scene, gait analysis of Chetan; dummy used matching Ketan Agarwal’s weight",https://timesofindia.indiatimes.com/city/pune/lohagad-fort-murder-cops-recreate-crime-scene-gait-analysis-of-chetan-dummy-used-matching-ketan-agarwals-weight/articleshow/132105336.cms
"Gas tanker driver dozes off, runs over UP family; father, son dead, daughter critical",https://timesofindia.indiatimes.com/city/agra/gas-tanker-driver-dozes-off-runs-over-up-family-father-son-dead-daughter-critical/articleshow/132097544.cms
'His name appears just twice': Chetan's lawyer questions his role in Ketan Agarwal murder case,https://timesofindia.indiatimes.com/city/pune/his-name-appears-just-twice-chetans-lawyer-questions-his-role-in-ketan-agarwal-murder-case/articleshow/132105903.cms
"Tamil Nadu man strangles wife, clobbers child to death, rams bike to end own life",https://timesofindia.indiatimes.com/city/coimbatore/businessman-kills-wife-and-daughter-dies-by-suicide-in-dharmapuri/articleshow/132095617.cms
Why the gut behaves as your second brain,https://timesofindia.indiatimes.com/life-style/health-plus/why-the-gut-behaves-as-your-second-brain/articleshow/132101580.cms
The great kitchen reset: Why a growing number of Indians are reassessing daily food habits to stay healthier for longer,https://timesofindia.indiatimes.com/health/the-great-kitchen-reset-why-a-growing-number-of-indians-are-reassessing-daily-food-habits-to-stay-healthier-for-longer/articleshow/132101345.cms
"She replaced regular meals with concentrated vegetable juices to lose weight; Three months later, she developed acute kidney injury",https://timesofindia.indiatimes.com/health/she-replaced-regular-meals-with-concentrated-vegetable-juices-to-lose-weight-three-months-later-she-developed-acute-kidney-injury/articleshow/132097306.cms
HbA1c vs. daily glucose monitoring: Doctor explains which number really matters,https://timesofindia.indiatimes.com/health/hba1c-vs-daily-glucose-monitoring-doctor-explains-which-number-really-matters/articleshow/132084531.cms
‘The worst headache of my life’ led to a shocking diagnosis of 11 brain aneurysms in a 42-year-old mother,https://timesofindia.indiatimes.com/health/the-worst-headache-of-my-life-led-to-a-shocking-diagnosis-of-11-brain-aneurysms-in-a-42-year-old-mother/articleshow/132042111.cms
"Your body is aging faster than your parents' did at the same age, new study finds",https://timesofindia.indiatimes.com/health/your-body-is-aging-faster-than-your-parents-did-at-the-same-age-new-study-finds/articleshow/132045979.cms
"Watch: Australian man goes to Thailand hotel with minor, comes out with her body in suitcase; caught at airport",https://timesofindia.indiatimes.com/world/rest-of-world/watch-australian-man-goes-to-thailand-hotel-with-minor-comes-out-with-her-body-in-suitcase-caught-at-airport/articleshow/132110343.cms
Scientists build a jacket that harvests nearly 1 litre of clean drinking water straight from the air,https://timesofindia.indiatimes.com/science/scientists-build-a-jacket-that-harvests-nearly-1-litre-of-clean-drinking-water-straight-from-the-air/articleshow/132109820.cms
"Summer breaks, rail launches, and visa changes: UAE to witness key events in July",https://timesofindia.indiatimes.com/world/middle-east/from-school-breaks-to-new-rail-services-uae-rolls-out-major-july-changes-across-travel-business-and-lifestyle/articleshow/132110143.cms
'Don't want to look like America': 5 reasons why Europe is against ACs despite melting summers,https://timesofindia.indiatimes.com/world/europe/dont-want-to-look-like-america-5-reasons-why-europe-is-against-air-conditioners-despite-melting-summers/articleshow/132107514.cms
"The monkey puzzle tree: Chile's ancient national tree that can live for 2,000 years",https://timesofindia.indiatimes.com/science/the-monkey-puzzle-tree-chiles-ancient-national-tree-that-can-live-for-2000-years/articleshow/132107836.cms
"Ancient DNA from a ruined tomb near Jerusalem reveals a hidden human story from 3,000 years ago",https://timesofindia.indiatimes.com/world/rest-of-world/ancient-dna-from-a-ruined-tomb-near-jerusalem-reveals-a-hidden-human-story-from-3000-years-ago/articleshow/132110677.cms
Scientists develop AI that detects pancreatic cancer years before diagnosis in a major breakthrough,https://timesofindia.indiatimes.com/science/scientists-develop-ai-that-detects-pancreatic-cancer-years-before-diagnosis-in-a-major-breakthrough/articleshow/132109719.cms
Jet-black Sahara volcano and skull-shaped crater captured in stunning NASA astronaut photo,https://timesofindia.indiatimes.com/science/jet-black-sahara-volcano-and-skull-shaped-crater-captured-in-stunning-nasa-astronaut-photo/articleshow/132109801.cms
"Greatest reforestation story: Costa Rica lost half its forests, then brought them back",https://timesofindia.indiatimes.com/science/costa-rica-lost-nearly-half-its-forests-in-just-a-few-decades-then-planted-millions-of-trees-and-became-one-of-the-worlds-greatest-reforestation-success-stories/articleshow/132108114.cms
FIFA World Cup: Mexico become first team since Italy in 1990 to start with four straight clean-sheet wins,https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/fifa-world-cup-mexico-become-first-team-since-italy-in-1990-to-start-with-four-straight-clean-sheet-wins/articleshow/132110005.cms
"FIFA World Cup Today Schedule: Where and How to Watch England vs DR Congo, USA vs Bosnia, Belgium vs Senegal Live",https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/fifa-world-cup-today-schedule-where-and-how-to-watch-england-vs-dr-congo-usa-vs-bosnia-belgium-vs-senegal-live/articleshow/132109108.cms
"Gilberto Mora scripts history, becomes youngest to play in World Cup knockouts since Pelé",https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/gilberto-mora-scripts-history-becomes-youngest-to-play-in-world-cup-knockouts-since-pel/articleshow/132108347.cms
Piero Hincapié becomes second player sent off under FIFA's new mouth-covering rule,https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/piero-hincapi-becomes-second-player-sent-off-under-fifas-new-mouth-covering-rule/articleshow/132107781.cms
‘More important than a World Cup’: Mbappe pays emotional tribute to Deschamps after coach’s mother’s death,https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/more-important-than-a-world-cup-mbappe-pays-emotional-tribute-to-deschamps-after-coachs-mothers-death/articleshow/132107183.cms
Visa setback can't stop DR Congo's iconic living statue Lumumba Vea from inspiring the team,https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/visa-setback-cant-stop-dr-congos-iconic-fan-lumumba-vea-from-inspiring-the-team/articleshow/132106462.cms
Hardik Pandya trade: CSK enter the race; seven franchises express interest,https://timesofindia.indiatimes.com/sports/cricket/news/hardik-pandya-trade-csk-enter-the-race-seven-franchises-express-interest/articleshow/132107819.cms
Big relief for Sreesanth! Kerala CA revokes three-year ban after apology,https://timesofindia.indiatimes.com/sports/cricket/news/big-relief-for-sreesanth-kerala-cricket-association-revokes-three-year-ban-after-unconditional-apology/articleshow/132110626.cms
FIFA World Cup: Mexico become first team since Italy in 1990 to ...,https://timesofindia.indiatimes.com/sports/football/fifa-world-cup/fifa-world-cup-mexico-become-first-team-since-italy-in-1990-to-start-with-four-straight-clean-sheet-wins/articleshow/132110005.cms
